Playeras para posada 2020,,,,,,,,,,,
NP,Caballero,,,,Dama,,,Niño,,,Pañalero
,Grande,Mediana,Chica,ExtraGrande,Grande,Mediana,Chica,Grande,Mediana,Chica,
1,Roman,Tío Ale,Juan,Tía Vicky,Abue Quinti,Estrella,Karla,Abraham,Luna,Santi,Farid
2,Tío Sam,Brandon,,Vicky,Mama Macris,Diana,Jessica,Alejandro VI,Denise,Emiliano,
3,Daniel,Tío Jorge,,Mama Chayo,Tia Mirtha,Michelle,Molly,,Mike,,
4,Francisco,Tío Arturo,,,Santos,Alejandra,Ariel,,Mia,,
5,Diego,Junior,,,Olga,Danika,Fernanda,,,,
6,Tío Ruben,Alejandro V,,,América,Jaqueline,Tía Celia,,,,
7,Edgar,Aaron,,,Tia Sofi,,Mayra,,,,
8,Pedro,,,,Denia,,Elly,,,,
9,Johan,,,,Andrea,,,,,,
10,Benice,,,,Maritza,,,,,,
11,Martin,,,,Yadi,,,,,,
12,Toño,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
TOTAL,12,7,1,3,11,6,8,2,4,2,1
,,,,,,,,,,,
TOTAL,57,,,,,,,,,,
